"","gene_id","gene_name","gene_type","chr","X1kb_up_tss_start","strand","number_of_dbp","tpm_homo_sapiens_hepg2","tpm_homo_sapiens_membrane_fraction","tpm_homo_sapiens_insoluble_cytoplasmic_fraction","tpm_homo_sapiens_cytosolic_fraction","tpm_homo_sapiens_nuclear_fraction"
"7079","ENSG00000135821.18","GLUL","protein_coding","chr1",182391207,"-",356,262.7409265,171.918612,685.070148,25.312731,142.418856
"7080","ENSG00000135823.14","STX6","protein_coding","chr1",181022122,"-",293,8.045442,2.594634,13.632143,0.358399,6.8864225
"7081","ENSG00000135824.12","RGS8","protein_coding","chr1",182683577,"-",0,0,0.002226,0,0,0
"7082","ENSG00000135828.11","RNASEL","protein_coding","chr1",182588257,"-",15,0.242113,0.026479,0.119984,0.036449,0.3746855
"7083","ENSG00000135829.17","DHX9","protein_coding","chr1",182838347,"+",308,88.8470755,10.1666455,165.338086,0.7708205,100.2135765
"7084","ENSG00000135835.12","KIAA1614","protein_coding","chr1",180911897,"+",28,0.318901,0.1791585,0.237602,0.027414,0.4411965
"7085","ENSG00000135837.16","CEP350","protein_coding","chr1",179953773,"+",319,16.2203115,5.2632895,28.4062275,1.1669195,19.591227
"7086","ENSG00000135838.13","NPL","protein_coding","chr1",182788293,"+",238,0.1192315,0.0134045,0.093112,0,0.4174005
"7087","ENSG00000135842.17","NIBAN1","protein_coding","chr1",184973509,"-",108,1.917576,0.574634,1.171467,0.0316605,3.700538
"7088","ENSG00000135845.10","PIGC","protein_coding","chr1",172443087,"-",243,13.5562525,7.402883,16.8765875,0.7573765,7.927516
"7089","ENSG00000135862.6","LAMC1","protein_coding","chr1",183022420,"+",310,71.5810225,5.5738345,41.6490405,0.465724,74.489131
"7090","ENSG00000135870.11","RC3H1","protein_coding","chr1",174021298,"-",323,9.4726745,3.509771,16.1682705,0.6429265,9.1274365
"7091","ENSG00000135898.10","GPR55","protein_coding","chr2",230960067,"-",0,0.0168285,0.003388,0.0241935,0,0.00843
"7092","ENSG00000135899.17","SP110","protein_coding","chr2",230224730,"-",13,4.486384,1.3393405,6.129273,0.141243,4.40613
"7093","ENSG00000135900.4","MRPL44","protein_coding","chr2",223956463,"+",370,41.2304155,11.2429835,78.5617865,1.1028925,16.256435
"7094","ENSG00000135902.10","CHRND","protein_coding","chr2",232524993,"+",85,0.0591595,0.058627,0.0596455,0.0027695,0.13506
"7095","ENSG00000135903.19","PAX3","protein_coding","chr2",222297997,"-",24,0.0355345,0,0.0117585,0.007782,0.2115805
"7096","ENSG00000135905.19","DOCK10","protein_coding","chr2",225041446,"-",8,0.0587855,0.0169905,0.0101835,0.003882,0.1350625
"7097","ENSG00000135912.11","TTLL4","protein_coding","chr2",218709835,"+",333,24.196526,12.123787,43.7068535,1.775716,29.308441
"7098","ENSG00000135913.11","USP37","protein_coding","chr2",218567352,"-",372,16.027623,4.5898195,25.826963,0.746527,14.911527
"7099","ENSG00000135914.6","HTR2B","protein_coding","chr2",231124043,"-",0,0.6632335,0.035782,0.184324,0.0034205,4.251893
"7100","ENSG00000135916.16","ITM2C","protein_coding","chr2",230863639,"+",259,32.0739675,12.2582405,28.8872355,1.489189,19.933673
"7101","ENSG00000135917.15","SLC19A3","protein_coding","chr2",227717029,"-",150,2.4674385,0.571585,1.492282,0.0609325,4.0453395
"7102","ENSG00000135919.13","SERPINE2","protein_coding","chr2",224038319,"-",185,4.4915445,1.018198,4.076652,0.2126175,5.2026555
"7103","ENSG00000135924.15","DNAJB2","protein_coding","chr2",219278267,"+",286,9.441871,6.75196,12.9572225,0.910002,5.5415545
"7104","ENSG00000135925.9","WNT10A","protein_coding","chr2",218879852,"+",23,0.403782,0.1993185,0.011885,0.008841,0.62897
"7105","ENSG00000135926.15","TMBIM1","protein_coding","chr2",218291587,"-",318,72.692761,30.632858,49.3961635,3.789319,56.4744875
"7106","ENSG00000135929.9","CYP27A1","protein_coding","chr2",218780749,"+",363,84.323371,24.722094,83.7601835,2.6793585,57.8280265
"7107","ENSG00000135930.14","EIF4E2","protein_coding","chr2",232549674,"+",397,54.3390475,14.6171425,96.838747,1.5875355,30.688299
"7108","ENSG00000135931.17","ARMC9","protein_coding","chr2",231197546,"+",262,7.748707,1.8035595,7.9942275,0.413247,9.143469
"7109","ENSG00000135932.11","CAB39","protein_coding","chr2",230711842,"+",303,23.8577315,6.683259,45.350472,0.558744,15.9442165
"7110","ENSG00000135940.7","COX5B","protein_coding","chr2",97645062,"+",303,225.472067,48.10385,382.581854,12.6939345,72.863346
"7111","ENSG00000135945.10","REV1","protein_coding","chr2",99489036,"-",343,34.7554665,9.845694,29.0312205,2.1553965,62.6675615
"7112","ENSG00000135951.15","TSGA10","protein_coding","chr2",99153965,"-",370,9.352111,8.8283875,14.489156,2.2476655,7.859671
"7113","ENSG00000135953.11","MFSD9","protein_coding","chr2",102735889,"-",299,24.3181465,11.4080015,20.7691955,1.3442925,27.128879
"7114","ENSG00000135956.8","TMEM127","protein_coding","chr2",96264995,"-",351,11.431858,3.162377,12.095382,0.183797,9.507355
"7115","ENSG00000135960.10","EDAR","protein_coding","chr2",108988373,"-",49,0.022031,0.0048125,0.008179,0.0005255,0.0910755
"7116","ENSG00000135966.13","TGFBRAP1","protein_coding","chr2",105328736,"-",320,10.587598,4.551901,17.85071,0.311787,7.7491465
"7117","ENSG00000135968.20","GCC2","protein_coding","chr2",108447561,"+",325,17.8071975,2.9222095,23.564797,0.4473565,28.636537
"7118","ENSG00000135972.9","MRPS9","protein_coding","chr2",105037069,"+",250,38.8587205,6.88979,69.1395385,0.775871,15.0055505
"7119","ENSG00000135973.3","GPR45","protein_coding","chr2",105240743,"+",8,0.0233385,0.0053685,0.0400255,0,0.092701
"7120","ENSG00000135974.10","C2orf49","protein_coding","chr2",105336532,"+",278,15.4745105,4.9425095,27.0813285,0.6802235,8.1608425
"7121","ENSG00000135976.19","ANKRD36","protein_coding","chr2",97112218,"+",0,16.184175,4.3798575,5.042272,0.636372,49.0187235
"7122","ENSG00000135999.12","EPC2","protein_coding","chr2",148643440,"+",305,13.5085835,5.325039,17.950624,0.3399735,21.54363
"7123","ENSG00000136002.19","ARHGEF4","protein_coding","chr2",130835916,"+",34,0.320716,0.101553,0.0949775,0.0222915,0.746144
"7124","ENSG00000136003.15","ISCU","protein_coding","chr12",108561582,"+",288,58.0594575,55.196226,108.915103,7.597697,23.9899865
"7125","ENSG00000136010.14","ALDH1L2","protein_coding","chr12",105106644,"-",362,0.7101095,0.198358,0.799136,0.013056,1.0837955
"7126","ENSG00000136011.15","STAB2","protein_coding","chr12",103586273,"+",0,0.1805595,0.035402,0.0790595,0.014812,0.170442
"7127","ENSG00000136014.12","USP44","protein_coding","chr12",95550477,"-",1,0.083086,0.043715,0.079846,0.006324,0.2702705
"7128","ENSG00000136021.19","SCYL2","protein_coding","chr12",100266140,"+",244,16.730442,7.772714,32.301057,3.5429795,17.0436855
"7129","ENSG00000136026.14","CKAP4","protein_coding","chr12",106303280,"-",247,36.523034,5.354681,28.912325,0.2660895,30.329459
"7130","ENSG00000136040.9","PLXNC1","protein_coding","chr12",94147577,"+",304,8.409906,0.9416415,5.68249,0.422719,14.8691445
"7131","ENSG00000136044.12","APPL2","protein_coding","chr12",105235204,"-",289,8.5762825,2.915301,7.3991225,0.284488,18.4376285
"7132","ENSG00000136045.12","PWP1","protein_coding","chr12",107684799,"+",308,33.060198,5.8603615,77.415486,0.587466,13.5299765
"7133","ENSG00000136048.14","DRAM1","protein_coding","chr12",101876580,"+",354,17.209694,9.1272725,17.4145965,1.0102485,20.761722
"7134","ENSG00000136051.14","WASHC4","protein_coding","chr12",105106324,"+",362,25.7093215,2.468275,33.426784,0.3761735,31.958349
"7135","ENSG00000136052.9","SLC41A2","protein_coding","chr12",104957745,"-",258,7.4517375,5.5626375,9.2776705,1.4235345,7.8873355
"7136","ENSG00000136059.14","VILL","protein_coding","chr3",37987059,"+",142,0.4877345,1.3714415,2.076929,0.392423,1.0804785
"7137","ENSG00000136068.14","FLNB","protein_coding","chr3",58007400,"+",266,47.4189865,5.396167,24.737191,0.7135305,70.257174
"7138","ENSG00000136098.17","NEK3","protein_coding","chr13",52158862,"-",332,12.2630035,5.3284565,22.3302555,0.3592805,10.8523505
"7139","ENSG00000136099.13","PCDH8","protein_coding","chr13",52847642,"-",5,0,0,0,0,0
"7140","ENSG00000136100.14","VPS36","protein_coding","chr13",52449635,"-",345,17.8920515,4.2200075,22.0441805,0.8654525,32.376996
"7141","ENSG00000136104.20","RNASEH2B","protein_coding","chr13",50908678,"+",314,25.795235,14.9015005,35.9280225,3.0956165,19.357581
"7142","ENSG00000136108.15","CKAP2","protein_coding","chr13",52454429,"+",273,22.1348625,4.726218,53.441386,0.311418,14.305884
"7143","ENSG00000136110.13","CNMD","protein_coding","chr13",52738821,"-",47,0.069367,0.005103,0.082716,0,0.300254
"7144","ENSG00000136111.14","TBC1D4","protein_coding","chr13",75481170,"-",305,18.173833,4.685083,41.194731,0.639949,31.441528
"7145","ENSG00000136114.17","THSD1","protein_coding","chr13",52415374,"-",0,0.04102,0.077551,0.019634,0.0295695,0.03639
"7146","ENSG00000136122.17","BORA","protein_coding","chr13",72726749,"+",294,9.468436,3.8149035,24.4135695,0.3948675,7.274564
"7147","ENSG00000136141.15","LRCH1","protein_coding","chr13",46552168,"+",238,2.445725,0.9303695,4.465107,0.124738,6.617777
"7148","ENSG00000136143.16","SUCLA2","protein_coding","chr13",48036969,"-",336,40.684549,7.10158,83.0147945,2.011547,30.428519
"7149","ENSG00000136144.12","RCBTB1","protein_coding","chr13",49584559,"-",264,12.072585,3.770048,22.387442,0.184567,9.89367
"7150","ENSG00000136146.15","MED4","protein_coding","chr13",48094132,"-",314,29.002009,13.3629675,55.087329,2.492042,13.672539
"7151","ENSG00000136147.18","PHF11","protein_coding","chr13",49494610,"+",257,8.8937495,3.3185665,6.2892165,0.600113,12.728656
"7152","ENSG00000136152.15","COG3","protein_coding","chr13",45463898,"+",306,31.710538,11.1792495,39.7206275,2.3411425,42.35893
"7153","ENSG00000136153.20","LMO7","protein_coding","chr13",75619434,"+",0,53.0915315,6.6063755,24.696516,0.964887,112.357201
"7154","ENSG00000136155.17","SCEL","protein_coding","chr13",77534674,"+",0,0,0,0,0,0.005552
"7155","ENSG00000136156.15","ITM2B","protein_coding","chr13",48231612,"+",280,111.2867575,12.0960715,84.953674,1.36072,81.1096025
"7156","ENSG00000136158.12","SPRY2","protein_coding","chr13",80340127,"-",290,4.18749,4.2277465,6.836934,0.294412,3.9075985
"7157","ENSG00000136159.4","NUDT15","protein_coding","chr13",48036726,"+",336,29.553303,10.8264235,62.077256,0.4694975,9.092313
"7158","ENSG00000136160.17","EDNRB","protein_coding","chr13",77974530,"-",0,0.0127225,0.00458,0,0.0005925,0.0172745
"7159","ENSG00000136161.12","RCBTB2","protein_coding","chr13",48532257,"-",295,1.228224,0.261247,1.9456195,0.0204435,2.6121345
"7160","ENSG00000136167.14","LCP1","protein_coding","chr13",46210872,"-",46,0.6479075,0.4099695,1.303128,0.016152,0.2061635
"7161","ENSG00000136169.16","SETDB2","protein_coding","chr13",49443374,"+",292,10.368532,4.9093425,8.247149,1.1319195,17.0312475
"7162","ENSG00000136193.17","SCRN1","protein_coding","chr7",29989290,"-",264,22.998692,5.460651,48.2622005,0.4925035,12.8442185
"7163","ENSG00000136197.12","C7orf25","protein_coding","chr7",42911306,"-",314,1.1304495,0.5204865,0.9728625,0.0436585,2.092452
"7164","ENSG00000136205.17","TNS3","protein_coding","chr7",47581559,"-",243,29.820828,7.1580725,37.292099,2.127553,42.2114145
"7165","ENSG00000136206.4","SPDYE1","protein_coding","chr7",43996897,"+",0,0.3270655,0.052278,0.1083515,0.0040665,0.7223225
"7166","ENSG00000136213.10","CHST12","protein_coding","chr7",2402588,"+",235,3.3186385,2.615562,3.1734245,0.4215275,3.4068795
"7167","ENSG00000136231.14","IGF2BP3","protein_coding","chr7",23469492,"-",299,25.900532,15.221519,37.476769,5.575229,39.6852075
"7168","ENSG00000136235.16","GPNMB","protein_coding","chr7",23234967,"+",2,1.5527785,0.924382,1.534214,0.073479,1.8667595
"7169","ENSG00000136237.19","RAPGEF5","protein_coding","chr7",22356155,"-",239,15.807898,5.9311805,9.686162,4.779372,49.4914525
"7170","ENSG00000136238.18","RAC1","protein_coding","chr7",6373527,"+",264,39.6287825,25.843419,62.275842,3.5953155,21.524093
"7171","ENSG00000136240.10","KDELR2","protein_coding","chr7",6483191,"-",285,121.7803105,73.5405375,119.561301,10.6656165,89.2816635
"7172","ENSG00000136243.17","NUP42","protein_coding","chr7",23180841,"+",300,40.704538,15.874026,43.556547,3.2824795,51.2306445
"7173","ENSG00000136244.12","IL6","protein_coding","chr7",22724884,"+",37,0,0,0,0,0.0389395
"7174","ENSG00000136247.14","ZDHHC4","protein_coding","chr7",6576434,"+",328,37.034536,59.9100505,44.4760565,13.2026625,28.463217
"7175","ENSG00000136250.12","AOAH","protein_coding","chr7",36723550,"-",0,1.10915,0.446635,0.4801835,0.1211925,2.912918
"7176","ENSG00000136261.15","BZW2","protein_coding","chr7",16645131,"+",305,40.6991145,10.925103,71.81634,1.155888,22.691523
"7177","ENSG00000136267.13","DGKB","protein_coding","chr7",14973778,"-",0,0.1198365,0.0406685,0.045766,0.0114455,0.5742475
"7178","ENSG00000136270.14","TBRG4","protein_coding","chr7",45111048,"-",314,51.9465285,18.090475,61.8357705,4.9270905,48.8147465
"7179","ENSG00000136271.10","DDX56","protein_coding","chr7",44574052,"-",352,50.379682,7.397097,69.4902765,1.4071635,44.580453
"7180","ENSG00000136273.13","HUS1","protein_coding","chr7",47978616,"-",319,8.657783,2.657303,15.2490595,0.39919,10.983556
"7181","ENSG00000136274.9","NACAD","protein_coding","chr7",45087970,"-",30,0.0076875,0.0048475,0.049652,0,0.0179055
"7182","ENSG00000136275.10","C7orf69","lncRNA","chr7",47794291,"+",9,0.07355,0.019675,0.100543,0,0.280936
"7183","ENSG00000136279.20","DBNL","protein_coding","chr7",44043640,"+",297,15.107168,4.4259235,21.614791,0.4441405,6.8622795
"7184","ENSG00000136280.16","CCM2","protein_coding","chr7",44998475,"+",233,7.5612725,12.384189,9.0637805,1.509512,4.7082695
"7185","ENSG00000136286.16","MYO1G","protein_coding","chr7",44978089,"-",17,0.218684,0.056206,0.1375385,0.0100245,0.3178035
"7186","ENSG00000136295.15","TTYH3","protein_coding","chr7",2630986,"+",207,14.2702965,15.8255305,17.926174,1.4041515,17.9486655
"7187","ENSG00000136297.14","MMD2","protein_coding","chr7",4958214,"-",7,0,0,0,0.0054765,0
"7188","ENSG00000136305.11","CIDEB","protein_coding","chr14",24310431,"-",0,12.2915595,2.697888,14.2636305,0.4282525,11.0267195
"7189","ENSG00000136315.4","AL355922.1","lncRNA","chr14",20918361,"+",16,0,0,0,0,0.100575
"7190","ENSG00000136319.12","TTC5","protein_coding","chr14",20304961,"-",224,11.2809065,2.192502,23.0030485,0.167051,8.386717
"7191","ENSG00000136327.7","NKX2-8","protein_coding","chr14",36581615,"-",21,0,0,0,0,0
"7192","ENSG00000136352.17","NKX2-1","protein_coding","chr14",36520150,"-",126,0,0,0,0,0
"7193","ENSG00000136367.14","ZFHX2","protein_coding","chr14",23555193,"-",356,0.3470155,0.229644,0.2635265,0.0819205,0.672481
"7194","ENSG00000136371.10","MTHFS","protein_coding","chr15",79896380,"-",361,19.0683345,12.1814495,41.9940365,2.039074,9.8550195
"7195","ENSG00000136378.15","ADAMTS7","protein_coding","chr15",78810465,"-",123,0.102071,0.042324,0.015664,0.003218,0.217747
"7196","ENSG00000136379.12","ABHD17C","protein_coding","chr15",80678684,"+",0,1.989227,2.108926,4.5896975,0.1151215,2.500898
"7197","ENSG00000136381.13","IREB2","protein_coding","chr15",78436431,"+",327,18.643733,6.2024495,56.3071565,0.740077,26.706116
"7198","ENSG00000136383.6","ALPK3","protein_coding","chr15",84815680,"+",7,0.018186,0.0046515,0.0145585,0.0013715,0.023504
"7199","ENSG00000136404.16","TM6SF1","protein_coding","chr15",83106572,"+",12,0,0,0,0,0
"7200","ENSG00000136425.14","CIB2","protein_coding","chr15",78130536,"-",262,0.872738,2.562639,1.0011645,0.5294705,0.242694
"7201","ENSG00000136436.14","CALCOCO2","protein_coding","chr17",48829988,"+",282,34.7911375,15.537735,57.975482,2.42485,37.034972
"7202","ENSG00000136444.10","RSAD1","protein_coding","chr17",50477860,"+",342,11.8824905,4.818708,11.5086985,0.864272,15.378703
"7203","ENSG00000136448.12","NMT1","protein_coding","chr17",45050610,"+",296,80.0681655,16.056593,144.9901495,2.120509,58.664392
"7204","ENSG00000136449.15","MYCBPAP","protein_coding","chr17",50507384,"+",6,8.261925,1.54989,2.240868,0.3926805,17.946522
"7205","ENSG00000136450.13","SRSF1","protein_coding","chr17",58006347,"-",366,198.3045995,38.879105,414.9205185,3.3648875,147.56382
"7206","ENSG00000136451.9","VEZF1","protein_coding","chr17",57987260,"-",311,16.1339015,8.305302,23.6150555,0.360682,11.739708
"7207","ENSG00000136457.10","CHAD","protein_coding","chr17",50467907,"-",18,0.590306,0.085767,0.119645,0.0058385,0.8288095
"7208","ENSG00000136463.8","TACO1","protein_coding","chr17",63599882,"+",363,22.495903,9.3940355,37.3382505,1.0940345,8.650128
"7209","ENSG00000136478.7","TEX2","protein_coding","chr17",64262302,"-",304,16.161492,8.5019185,21.1793155,2.329676,15.307966
"7210","ENSG00000136485.15","DCAF7","protein_coding","chr17",63549477,"+",310,27.467219,7.8920175,49.748152,0.949319,16.8283385
"7211","ENSG00000136487.18","GH2","protein_coding","chr17",63880945,"-",51,0,0.01455,0,0,0
"7212","ENSG00000136488.15","CSH1","protein_coding","chr17",63895662,"-",1,0,0,0,0.004049,0
"7213","ENSG00000136490.9","LIMD2","protein_coding","chr17",63700173,"-",170,4.666778,4.59458,5.8172095,0.7475355,2.623312
"7214","ENSG00000136492.8","BRIP1","protein_coding","chr17",61862522,"-",260,21.5375135,7.741377,26.130415,2.7106405,37.5366015
"7215","ENSG00000136504.12","KAT7","protein_coding","chr17",49787681,"+",313,21.4623025,4.889152,27.693611,0.7286415,31.75291
"7216","ENSG00000136514.3","RTP4","protein_coding","chr3",187367385,"+",32,0.261878,0.064522,0.512357,0.005157,0.1541805
"7217","ENSG00000136518.17","ACTL6A","protein_coding","chr3",179561886,"+",258,46.1809555,8.5147755,94.820243,0.6497455,27.0148425
"7218","ENSG00000136521.13","NDUFB5","protein_coding","chr3",179603690,"+",234,84.6391785,22.249762,166.861582,2.7219565,26.885589
"7219","ENSG00000136522.14","MRPL47","protein_coding","chr3",179603650,"-",234,38.410091,8.6650595,85.2496675,1.3881775,12.1020605
"7220","ENSG00000136527.18","TRA2B","protein_coding","chr3",185937104,"-",363,161.6272565,31.371712,311.5416745,3.491017,187.701968
"7221","ENSG00000136531.16","SCN2A","protein_coding","chr2",165193993,"+",0,0.2874205,0.039389,0.191818,0.0021875,0.710635
"7222","ENSG00000136535.15","TBR1","protein_coding","chr2",161415297,"+",77,0.0117525,0.0023155,0,0,0.0284675
"7223","ENSG00000136536.15","MARCH7","protein_coding","chr2",159711457,"+",363,52.798938,17.2666045,117.5549785,1.9271265,40.2589865
"7224","ENSG00000136541.14","ERMN","protein_coding","chr2",157326714,"-",21,0.124231,0.066161,0.0350265,0.00926,0.3486715
"7225","ENSG00000136542.9","GALNT5","protein_coding","chr2",157256705,"+",3,0.080856,0.014702,0.0255155,0.0037425,0.127472
"7226","ENSG00000136546.16","SCN7A","protein_coding","chr2",166610483,"-",2,0.852667,0.15053,0.2752925,0.021726,1.790875
"7227","ENSG00000136560.14","TANK","protein_coding","chr2",161135908,"+",2,61.435881,16.312188,69.3926455,2.8198295,125.645326
"7228","ENSG00000136573.14","BLK","protein_coding","chr8",11485894,"+",0,0.0310325,0,0,0,0.023784
"7229","ENSG00000136574.17","GATA4","protein_coding","chr8",11675959,"+",0,10.434595,6.331652,14.1014425,1.311072,10.179818
"7230","ENSG00000136603.14","SKIL","protein_coding","chr3",170356678,"+",272,12.708517,9.3512595,24.300285,0.9937775,7.3977015
"7231","ENSG00000136628.18","EPRS","protein_coding","chr1",220045531,"-",287,48.012609,4.596649,108.93616,0.481703,29.139053
"7232","ENSG00000136630.13","HLX","protein_coding","chr1",220878431,"+",117,0.0811835,0.122982,0.045549,0.004732,0.22131
"7233","ENSG00000136631.15","VPS45","protein_coding","chr1",150066279,"+",308,13.848584,2.7912975,16.5176965,0.425925,17.713146
"7234","ENSG00000136634.7","IL10","protein_coding","chr1",206773542,"-",1,0.4833955,0.1077775,0.086728,0.0327225,0.934202
"7235","ENSG00000136636.13","KCTD3","protein_coding","chr1",215566304,"+",286,36.804292,19.3148805,75.87855,1.231767,37.055391
"7236","ENSG00000136643.12","RPS6KC1","protein_coding","chr1",213050233,"+",272,12.5016425,5.457563,19.5648605,2.2577905,16.269374
"7237","ENSG00000136682.15","CBWD2","protein_coding","chr2",113436691,"+",0,54.436998,24.9228105,84.114334,1.860595,44.3580735
"7238","ENSG00000136688.11","IL36G","protein_coding","chr2",112972203,"+",0,0.012841,0,0.0861245,0,0.154795
"7239","ENSG00000136689.18","IL1RN","protein_coding","chr2",113106214,"+",1,10.32633,5.6778855,17.099725,0.4927355,7.3787195
"7240","ENSG00000136694.9","IL36A","protein_coding","chr2",113004459,"+",1,0,0,0,0,0
"7241","ENSG00000136695.14","IL36RN","protein_coding","chr2",113057638,"+",1,0,0,0,0,0
"7242","ENSG00000136696.11","IL36B","protein_coding","chr2",113051868,"-",3,0,0,0,0,0
"7243","ENSG00000136697.13","IL1F10","protein_coding","chr2",113066970,"+",0,0,0,0,0,0
"7244","ENSG00000136698.8","CFC1","protein_coding","chr2",130598576,"-",0,0,0,0,0,0
"7245","ENSG00000136699.19","SMPD4","protein_coding","chr2",130181751,"-",338,34.3460665,14.3542005,43.379835,3.121755,33.211194
"7246","ENSG00000136709.12","WDR33","protein_coding","chr2",127810188,"-",325,38.1053885,13.7952095,72.852187,2.4813145,43.989858
"7247","ENSG00000136710.10","CCDC115","protein_coding","chr2",130341700,"-",320,11.2424095,4.4875985,25.520014,0.349276,4.953887
"7248","ENSG00000136715.18","SAP130","protein_coding","chr2",128027121,"-",284,4.760796,2.80156,8.7098875,0.285806,6.801555
"7249","ENSG00000136717.15","BIN1","protein_coding","chr2",127106289,"-",116,0.428607,0.388827,0.51675,0.0715265,0.2486045
"7250","ENSG00000136718.9","IMP4","protein_coding","chr2",130341225,"+",320,66.1706075,48.5979995,112.9233655,10.3441325,33.0119595
"7251","ENSG00000136720.7","HS6ST1","protein_coding","chr2",128317869,"-",258,41.3907285,16.42459,51.33787,1.2413775,30.817048
"7252","ENSG00000136731.13","UGGT1","protein_coding","chr2",128090200,"+",315,39.208842,4.7201035,37.6251185,0.8693625,40.723596
"7253","ENSG00000136732.16","GYPC","protein_coding","chr2",126655133,"+",24,0,0,0,0,0
"7254","ENSG00000136738.15","STAM","protein_coding","chr10",17643151,"+",235,14.0967015,2.907072,21.758146,0.261599,25.573925
"7255","ENSG00000136750.13","GAD2","protein_coding","chr10",26215665,"+",5,0.0043415,0,0,0,0
"7256","ENSG00000136754.17","ABI1","protein_coding","chr10",26860088,"-",276,11.08322,2.65833,18.301187,0.206774,10.0450635
"7257","ENSG00000136758.18","YME1L1","protein_coding","chr10",27154267,"-",308,62.3763635,15.348985,130.508115,0.961252,34.531748
"7258","ENSG00000136770.11","DNAJC1","protein_coding","chr10",22002770,"-",271,8.103612,2.6831255,5.891837,0.5059605,8.3069445
"7259","ENSG00000136783.10","NIPSNAP3A","protein_coding","chr9",104746683,"+",271,10.7234365,1.6724505,25.0094155,0.206062,4.4170055
"7260","ENSG00000136802.11","LRRC8A","protein_coding","chr9",128881112,"+",287,7.641975,4.5370845,6.350832,0.2934245,5.933307
"7261","ENSG00000136807.14","CDK9","protein_coding","chr9",127784679,"+",289,9.228824,4.940581,10.759695,0.59318,6.343787
"7262","ENSG00000136810.13","TXN","protein_coding","chr9",110255508,"-",313,469.437623,101.4379875,921.5679875,21.9960245,112.4831375
"7263","ENSG00000136811.16","ODF2","protein_coding","chr9",128454186,"+",235,14.379477,5.115117,16.8983095,0.69239,14.2614545
"7264","ENSG00000136813.14","ECPAS","protein_coding","chr9",111483746,"-",299,29.925446,5.511977,51.663011,0.8151205,25.027369
"7265","ENSG00000136816.16","TOR1B","protein_coding","chr9",129802157,"+",256,9.1983955,1.9142385,6.3495735,0.225123,7.0461005
"7266","ENSG00000136819.15","C9orf78","protein_coding","chr9",129834864,"-",253,18.8593605,8.722401,33.140645,1.5386075,9.8878015
"7267","ENSG00000136824.19","SMC2","protein_coding","chr9",104093260,"+",268,20.440969,1.7297495,51.179714,0.07331,15.0348045
"7268","ENSG00000136826.15","KLF4","protein_coding","chr9",107489483,"-",79,0.142206,0.0846455,0.038023,0,0.4800445
"7269","ENSG00000136827.12","TOR1A","protein_coding","chr9",129823245,"-",314,13.623587,4.146887,12.6090225,0.4377955,11.118692
"7270","ENSG00000136828.19","RALGPS1","protein_coding","chr9",126913774,"+",144,2.6610095,1.7326115,2.456231,0.247819,5.495038
"7271","ENSG00000136830.12","NIBAN2","protein_coding","chr9",127577990,"-",208,18.75257,5.649922,24.111432,0.652952,8.8110805
"7272","ENSG00000136834.3","OR1J1","protein_coding","chr9",122476927,"-",2,0.152179,0.069626,0.019932,0.002967,0.365559
"7273","ENSG00000136839.1","OR13C9","protein_coding","chr9",104617205,"-",0,0,0,0,0,0
"7274","ENSG00000136840.19","ST6GALNAC4","protein_coding","chr9",127916042,"-",166,9.26229,23.2653935,11.5872255,4.319352,6.9011395
"7275","ENSG00000136842.14","TMOD1","protein_coding","chr9",97500180,"+",122,0.0486725,0.010437,0.035952,0,0.1699195
"7276","ENSG00000136848.17","DAB2IP","protein_coding","chr9",121566057,"+",6,13.220699,4.7543235,22.3415585,0.548167,13.0204225
"7277","ENSG00000136854.21","STXBP1","protein_coding","chr9",127578370,"+",208,1.4432805,1.796667,3.462173,0.218098,2.144325
"7278","ENSG00000136856.18","SLC2A8","protein_coding","chr9",127396138,"+",295,32.560882,15.7469315,22.296742,3.115331,33.2997365
"7279","ENSG00000136859.10","ANGPTL2","protein_coding","chr9",127121636,"-",172,1.0115585,0.1786385,0.3095765,0.024845,1.182045
"7280","ENSG00000136861.18","CDK5RAP2","protein_coding","chr9",120579171,"-",258,18.7774195,7.8344735,27.4986645,2.24396,38.9936025
"7281","ENSG00000136866.13","ZFP37","protein_coding","chr9",113055760,"-",259,1.6347235,0.3072145,3.554332,0.0129065,1.475971
"7282","ENSG00000136867.11","SLC31A2","protein_coding","chr9",113149976,"+",240,3.1347335,0.9133015,2.710681,0.061871,2.7221305
"7283","ENSG00000136868.11","SLC31A1","protein_coding","chr9",113220544,"+",283,35.3128115,7.17258,33.7764565,0.533125,25.5557035
"7284","ENSG00000136869.16","TLR4","protein_coding","chr9",117703175,"+",0,0.1303405,0.024498,0.175516,0.000764,0.1938445
"7285","ENSG00000136870.10","ZNF189","protein_coding","chr9",101397873,"+",288,19.7789485,7.3531635,39.2129165,0.311535,13.952939
"7286","ENSG00000136872.20","ALDOB","protein_coding","chr9",101448665,"-",11,0.511019,0.2751625,0.77408,0.0619785,1.1552415
"7287","ENSG00000136874.11","STX17","protein_coding","chr9",99905654,"+",296,13.817814,3.742119,18.8712855,0.4509805,15.779836
"7288","ENSG00000136875.12","PRPF4","protein_coding","chr9",113274343,"+",270,20.09108,5.9361515,42.72113,0.382771,7.2400035
"7289","ENSG00000136877.15","FPGS","protein_coding","chr9",127793597,"+",48,19.9032045,7.6858215,15.9360735,1.0840135,14.0688015
